f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,close
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,799.025,791.2,805.8,-0.0123058,804.5,0,0,0,0,0,0,0,794.6
0,0,797.9,790.2,805.3,0.0099484,794.1,0,0,0,0,0,0,0,802.0
0,0,804.65,797.2,812.7,0.0036119,802.9,0,0,0,0,0,0,0,805.8
0,0,811.55,805.1,823.9,-0.0073928,811.6,0,0,0,0,0,0,0,805.6
0,0,807.825,798.1,814.5,0.0040857,807.7,0,0,0,0,0,0,0,811.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,810.825,807.3,815.9,0.0040821,808.4,0,0,0,0,0,0,0,811.7
0,0,812.6,806.6,820.4,-0.0046706,813.6,0,0,0,0,0,0,0,809.8
0,0,816.95,808.3,824.2,0.0106972,813.3,0,0,0,0,0,0,0,822.0
0,0,817.625,811.7,821.9,-0.0023188,819.4,0,0,0,0,0,0,0,817.5
0,0,830.575,817.5,844.9,0.027235,818.8,0,0,0,0,0,0,0,841.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,840.525,833.7,851.6,-0.0028585,839.6,0,0,0,0,0,0,0,837.2
0,0,835.65,828.3,843.3,-0.0047761,837.5,0,0,0,0,0,0,0,833.5
0,0,839.85,832.3,847.9,0.009574,835.6,0,0,0,0,0,0,0,843.6
0,0,826.875,808.3,845.3,-0.0369139,842.5,0,0,0,0,0,0,0,811.4
0,0,810.4,805.20001,820.79999,-0.0190058,820.79999,0,0,0,0,0,0,0,805.20001
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,817.6,811.1,823.9,0.0066258,815.0,0,0,0,0,0,0,0,820.4
0,0,816.125,809.2,820.4,-0.0057331,819.8,0,0,0,0,0,0,0,815.1
0,0,822.35,811.3,832.7,0.0179053,815.4,0,0,0,0,0,0,0,830.0
0,0,830.925,825.7,836.2,0.0,830.9,0,0,0,0,0,0,0,830.9
0,0,829.725,820.6,835.0,0.0071196,828.7,0,0,0,0,0,0,0,834.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,840.725,832.3,850.6,0.0124581,834.8,0,0,0,0,0,0,0,845.2
0,0,847.6,840.4,855.3,-0.0010616,847.8,0,0,0,0,0,0,0,846.9
0,0,846.05,838.2,854.6,0.0033164,844.3,0,0,0,0,0,0,0,847.1
0,0,850.95,846.6,858.3,0.0010601,849.0,0,0,0,0,0,0,0,849.9
0,0,856.05,848.8,865.5,-0.0066449,857.8,0,0,0,0,0,0,0,852.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,852.025,848.3,857.0,0.0030585,850.1,0,0,0,0,0,0,0,852.7
0,0,855.85,847.4,862.9,0.0118614,851.5,0,0,0,0,0,0,0,861.6
0,0,870.7,858.9,882.4,0.0240586,860.4,0,0,0,0,0,0,0,881.1
0,0,878.725,870.1,889.7,-0.0080581,881.1,0,0,0,0,0,0,0,874.0
0,0,869.525,863.5,874.3,-0.0053868,872.5,0,0,0,0,0,0,0,867.8
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,876.525,868.1,886.7,0.0143777,869.4,0,0,0,0,0,0,0,881.9
0,0,878.95,871.8,886.5,-0.0138999,884.9,0,0,0,0,0,0,0,872.6
0,0,875.65,865.8,883.0,0.004572,874.9,0,0,0,0,0,0,0,878.9
0,0,858.8,845.6,870.1,-0.0194656,868.2,0,0,0,0,0,0,0,851.3
0,0,853.925,845.3,861.7,-0.0031553,855.7,0,0,0,0,0,0,0,853.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,854.5,845.7,863.5,0.0082266,850.9,0,0,0,0,0,0,0,857.9
0,0,855.8,847.2,862.7,-0.0080223,860.1,0,0,0,0,0,0,0,853.2
0,0,862.525,849.6,873.5,0.0175234,856.0,0,0,0,0,0,0,0,871.0
0,0,865.975,854.7,873.2,-0.0011514,868.5,0,0,0,0,0,0,0,867.5
0,0,866.425,861.3,871.9,-0.0056406,868.7,0,0,0,0,0,0,0,863.8
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,862.4,856.1,865.9,-0.0002315083,863.9,0,0,0,0,0,0,0,863.7
0,0,857.6,839.7,870.2,-0.0012779,860.8,0,0,0,0,0,0,0,859.7
0,0,852.325,846.0,858.4,-0.0103863,856.9,0,0,0,0,0,0,0,848.0
0,0,843.9,835.8,850.5,-0.0062552,847.3,0,0,0,0,0,0,0,842.0
0,0,845.825,835.2,853.4,0.0098435,843.2,0,0,0,0,0,0,0,851.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,853.8,845.4,860.9,0.0055158,852.1,0,0,0,0,0,0,0,856.8
0,0,853.575,847.1,858.5,-0.0036219,855.9,0,0,0,0,0,0,0,852.8
0,0,853.175,842.6,859.1,0.0060968,852.9,0,0,0,0,0,0,0,858.1
0,0,857.075,848.1,863.4,0.0081881,854.9,0,0,0,0,0,0,0,861.9
0,0,860.025,852.5,872.3,-0.0054651,860.0,0,0,0,0,0,0,0,855.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,860.625,855.3,869.3,-0.0026741,860.1,0,0,0,0,0,0,0,857.8
0,0,864.2,857.6,871.7,0.0103573,859.3,0,0,0,0,0,0,0,868.2
0,0,889.35,867.8,912.2,0.046517,868.5,0,0,0,0,0,0,0,908.9
0,0,915.925,897.7,939.0,0.014333,907.0,0,0,0,0,0,0,0,920.0
0,0,927.675,915.8,944.2,0.0138194,919.0,0,0,0,0,0,0,0,931.7
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,946.275,928.0,964.0,0.0193067,937.5,0,0,0,0,0,0,0,955.6
0,0,952.93331,951.59998,953.59998,0.0021017,951.59998,0,0,0,0,0,0,0,953.59998
0,0,974.575,958.6,994.3,0.0239284,961.2,0,0,0,0,0,0,0,984.2
0,0,974.7,946.6,1000.8,-0.0242989,987.7,0,0,0,0,0,0,0,963.7
0,0,955.025,929.5,967.5,-0.0063239,964.6,0,0,0,0,0,0,0,958.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,953.925,945.3,965.0,0.0,952.7,0,0,0,0,0,0,0,952.7
0,0,941.825,930.8,950.0,-0.0140015,949.9,0,0,0,0,0,0,0,936.6
0,0,938.45,932.4,948.3,0.0078251,932.9,0,0,0,0,0,0,0,940.2
0,0,951.45,944.6,963.3,0.0077224,945.3,0,0,0,0,0,0,0,952.6
0,0,954.975,948.3,966.8,-0.0004199034,952.6,0,0,0,0,0,0,0,952.2
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,947.075,928.4,962.2,-0.0201356,958.5,0,0,0,0,0,0,0,939.2
0,0,940.5,930.8,946.8,0.0042544,940.2,0,0,0,0,0,0,0,944.2
0,0,936.05,922.1,945.0,-0.008382,942.5,0,0,0,0,0,0,0,934.6
0,0,935.95,923.7,943.9,0.0092097,933.8,0,0,0,0,0,0,0,942.4
0,0,942.325,937.4,950.2,0.003727,939.1,0,0,0,0,0,0,0,942.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,951.425,944.0,963.7,0.0103803,944.1,0,0,0,0,0,0,0,953.9
0,0,956.6,948.3,964.0,-0.0034422,958.7,0,0,0,0,0,0,0,955.4
0,0,941.5,923.6,959.0,-0.0288854,955.5,0,0,0,0,0,0,0,927.9
0,0,939.2,933.5,944.4,0.006943,936.2,0,0,0,0,0,0,0,942.7
0,0,935.5,926.1,942.8,-0.0009605123,937.0,0,0,0,0,0,0,0,936.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,911.675,880.2,940.8,-0.0505072,936.5,0,0,0,0,0,0,0,889.2
0,0,886.975,879.3,893.8,-0.0029256,888.7,0,0,0,0,0,0,0,886.1
0,0,887.725,875.6,897.9,0.0129105,883.0,0,0,0,0,0,0,0,894.4
0,0,895.525,890.7,904.0,0.0015677,893.0,0,0,0,0,0,0,0,894.4
0,0,888.675,876.8,895.5,-0.0096036,895.5,0,0,0,0,0,0,0,886.9
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,887.175,879.4,894.0,0.0014656,887.0,0,0,0,0,0,0,0,888.3
0,0,887.925,881.5,897.7,0.0087262,882.4,0,0,0,0,0,0,0,890.1
0,0,895.2,887.6,901.7,0.0021234,894.8,0,0,0,0,0,0,0,896.7
0,0,900.95,887.6,908.7,0.0092263,899.6,0,0,0,0,0,0,0,907.9
0,0,901.15,888.9,911.4,-0.0040929,904.0,0,0,0,0,0,0,0,900.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,900.025,894.5,906.1,-0.0007776914,900.1,0,0,0,0,0,0,0,899.4
0,0,895.275,887.0,906.9,-0.0097996,898.0,0,0,0,0,0,0,0,889.2
0,0,888.85,880.1,895.0,0.0012365,889.6,0,0,0,0,0,0,0,890.7
0,0,890.675,884.5,894.2,0.0022447,891.0,0,0,0,0,0,0,0,893.0
0,0,893.275,886.8,898.3,0.0042596,892.1,0,0,0,0,0,0,0,895.9
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,895.025,888.7,902.9,-0.0045744,896.3,0,0,0,0,0,0,0,892.2
0,0,893.1,887.8,896.4,0.0042591,892.2,0,0,0,0,0,0,0,896.0
0,0,908.85,894.0,924.0,0.0306145,895.0,0,0,0,0,0,0,0,922.4
0,0,925.975,921.0,936.8,0.0044517,921.0,0,0,0,0,0,0,0,925.1
0,0,933.075,926.2,943.9,0.0047368,928.9,0,0,0,0,0,0,0,933.3
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,926.1,917.3,938.5,-0.0114028,929.6,0,0,0,0,0,0,0,919.0
0,0,921.925,912.7,926.7,0.0020581,923.2,0,0,0,0,0,0,0,925.1
0,0,926.25,918.3,931.9,0.0069249,924.2,0,0,0,0,0,0,0,930.6
0,0,933.65,926.6,943.5,0.0031156,930.8,0,0,0,0,0,0,0,933.7
0,0,946.0,933.2,959.5,0.0178171,937.3,0,0,0,0,0,0,0,954.0
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,947.6,936.2,959.9,-0.0176852,955.6,0,0,0,0,0,0,0,938.7
0,0,936.05,928.5,943.5,-0.0116822,941.6,0,0,0,0,0,0,0,930.6
0,0,931.85,925.9,936.9,-0.0012863,932.9,0,0,0,0,0,0,0,931.7
0,0,923.05,907.1,938.1,-0.0203644,933.0,0,0,0,0,0,0,0,914.0
0,0,902.7,889.6,914.3,-0.0226527,913.8,0,0,0,0,0,0,0,893.1
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,885.225,875.8,894.9,-0.0101169,889.6,0,0,0,0,0,0,0,880.6
0,0,874.6,867.8,883.0,-0.0088869,877.7,0,0,0,0,0,0,0,869.9
0,0,873.65,869.6,879.7,0.0049397,870.5,0,0,0,0,0,0,0,874.8
0,0,879.825,871.8,887.0,0.0058106,877.7,0,0,0,0,0,0,0,882.8
0,0,888.475,877.1,898.7,0.0123359,883.6,0,0,0,0,0,0,0,894.5
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,892.6,881.1,902.0,0.0030259,892.3,0,0,0,0,0,0,0,895.0
0,0,904.775,895.8,914.3,0.0173971,896.7,0,0,0,0,0,0,0,912.3
0,0,915.95,908.7,922.0,0.0075567,913.1,0,0,0,0,0,0,0,920.0
0,0,920.0,912.2,929.7,-0.0033674,920.6,0,0,0,0,0,0,0,917.5
0,0,904.65,888.3,919.3,-0.0280923,918.4,0,0,0,0,0,0,0,892.6
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,897.225,891.5,903.1,0.0072715,893.9,0,0,0,0,0,0,0,900.4
0,0,906.875,896.4,919.0,0.01255,900.4,0,0,0,0,0,0,0,911.7
0,0,902.575,891.3,911.8,-0.0179864,911.8,0,0,0,0,0,0,0,895.4
0,0,898.325,891.0,904.2,0.0030077,897.7,0,0,0,0,0,0,0,900.4
0,0,897.90002,897.90002,897.90002,0.0,897.90002,0,0,0,0,0,0,0,897.90002
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,899.175,892.8,906.3,0.0020047,897.9,0,0,0,0,0,0,0,899.7
0,0,905.925,897.5,914.0,0.0122141,900.6,0,0,0,0,0,0,0,911.6
0,0,907.225,896.7,918.4,-0.0111842,912.0,0,0,0,0,0,0,0,901.8
0,0,897.225,886.4,903.9,0.0028953,898.0,0,0,0,0,0,0,0,900.6
0,0,898.825,892.6,903.6,-0.0014441,900.2,0,0,0,0,0,0,0,898.9
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,897.475,889.9,902.8,-0.0002225437,898.7,0,0,0,0,0,0,0,898.5
0,0,910.55,895.7,926.7,0.0283103,897.2,0,0,0,0,0,0,0,922.6
0,0,931.65,915.8,947.5,0.016995,923.8,0,0,0,0,0,0,0,939.5
0,0,943.775,937.3,951.4,0.0033985,941.6,0,0,0,0,0,0,0,944.8
0,0,937.7,924.7,950.4,-0.019115,946.9,0,0,0,0,0,0,0,928.8
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,931.875,927.8,938.3,0.0012902,930.1,0,0,0,0,0,0,0,931.3
0,0,930.125,921.2,936.9,-0.0030024,932.6,0,0,0,0,0,0,0,929.8
0,0,932.325,925.4,938.4,0.0063455,929.8,0,0,0,0,0,0,0,935.7
0,0,935.775,928.2,941.4,-0.0026652,938.0,0,0,0,0,0,0,0,935.5
0,0,925.325,910.8,940.0,-0.0244475,936.7,0,0,0,0,0,0,0,913.8
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,926.65,912.2,941.4,0.0260223,914.6,0,0,0,0,0,0,0,938.4
0,0,939.3,928.9,948.2,0.0058679,937.3,0,0,0,0,0,0,0,942.8
0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,
0,0,950.95,941.2,963.5,0.0083545,945.6,0,0,0,0,0,0,0,953.5
